filing_year,ward,eviction_filings_total,eviction_filings_rate,eviction_filings_sealed,eviction_filings_unclear,eviction_filings_completed,case_type_single_action,case_type_joint_action,back_rent_median,back_rent_0,back_rent_1_to_999,back_rent_1000_to_2499,back_rent_2500_to_4999,back_rent_5000_or_more,landlord_prose,landlord_represented,tenant_prose,tenant_represented,tenant_rep_pa,tenant_rep_laa,eviction_order_yes,eviction_order_no,eviction_order_yes_tenant_prose,eviction_order_no_tenant_prose,eviction_order_yes_tenant_represented,eviction_order_no_tenant_represented,eviction_order_yes_tenant_rep_pa,eviction_order_no_tenant_rep_pa,eviction_order_yes_tenant_rep_laa,eviction_order_no_tenant_rep_laa,ftu_eviction_order,ftu_other_outcome,ftu_no_outcome,ftu_eviction_order_tenant_prose,ftu_other_outcome_tenant_prose,ftu_no_outcome_tenant_prose,ftu_eviction_order_tenant_represented,ftu_other_outcome_tenant_represented,ftu_no_outcome_tenant_represented,default_eviction_order_yes,default_eviction_order_no,default_eviction_order_yes_tenant_prose,default_eviction_order_no_tenant_prose,default_eviction_order_yes_tenant_represented,default_eviction_order_no_tenant_represented
2010,1,307,1.92,15,2,290,66,224,2369.0,65,40,82,63,40,69,221,250,40,26,14,176,114,160,90,16,24,13,13,3,11,104,25,161,100,25,125,4,0,36,40,250,39,211,1,39
2011,1,376,2.35,19,3,354,98,256,2040.0,94,55,96,66,43,87,267,305,49,33,16,186,168,172,133,14,35,13,20,1,15,109,31,214,107,31,167,2,0,47,41,313,41,264,0,49
2012,1,342,2.14,24,8,310,89,221,1762.78,90,70,63,58,29,59,251,275,35,26,9,172,138,156,119,16,19,15,11,1,8,102,28,180,100,28,147,2,0,33,47,263,45,230,2,33
2013,1,280,1.75,28,5,247,73,174,1925.0,75,46,59,53,14,47,200,206,41,27,14,140,107,119,87,21,20,16,11,5,9,73,22,152,69,22,115,4,0,37,9,238,9,197,0,41
2014,1,257,1.61,36,3,218,69,149,2029.35,68,34,51,36,29,40,178,184,34,21,13,116,102,104,80,12,22,10,11,2,11,65,32,121,64,32,88,1,0,33,11,207,9,175,2,32
2015,1,232,1.45,58,3,171,47,124,2552.0,47,20,40,41,23,20,151,135,36,28,8,95,76,81,54,14,22,12,16,2,6,51,24,96,49,24,62,2,0,34,9,162,8,127,1,35
2016,1,181,1.13,28,3,150,28,122,1856.5,28,34,46,32,10,23,127,131,19,19,0,92,58,79,52,13,6,13,6,0,0,50,24,76,49,24,58,1,0,18,23,127,22,109,1,18
2017,1,161,1.0,24,1,136,29,107,2650.75,29,14,39,37,17,23,113,117,19,16,3,78,58,68,49,10,9,9,7,1,2,44,19,73,41,19,57,3,0,16,21,115,19,98,2,17
2018,1,129,0.8,11,1,117,17,100,2520.98,18,13,34,32,20,10,107,102,15,12,3,67,50,62,40,5,10,5,7,0,3,30,19,68,28,19,55,2,0,13,29,88,29,73,0,15
2019,1,143,0.89,13,7,123,36,87,2560.0,34,13,29,25,22,12,111,108,15,10,5,62,61,58,50,4,11,4,6,0,5,30,16,77,30,16,62,0,0,15,22,101,21,87,1,14
2010,2,441,2.45,9,1,431,56,375,2352.89,55,36,166,102,72,39,392,378,53,39,14,225,206,204,174,21,32,21,18,0,14,120,61,250,116,59,203,4,2,47,67,364,63,315,4,49
2011,2,506,2.78,13,10,483,64,419,2527.78,61,48,159,136,79,65,418,429,54,44,10,265,218,241,188,24,30,22,22,2,8,162,62,259,158,61,210,4,1,49,86,397,79,350,7,47
2012,2,415,2.26,21,3,391,56,335,2373.0,56,52,128,96,59,38,353,361,30,25,5,218,173,201,160,17,13,16,9,1,4,136,58,197,134,58,169,2,0,28,82,309,77,284,5,25
2013,2,266,1.44,14,1,251,40,211,3028.65,38,18,77,58,60,19,232,215,36,27,9,151,100,140,75,11,25,10,17,1,8,99,34,118,97,34,84,2,0,34,24,227,24,191,0,36
2014,2,237,1.27,10,2,225,31,194,2800.0,30,24,65,58,48,16,209,196,29,25,4,103,122,97,99,6,23,6,19,0,4,65,47,113,64,47,85,1,0,28,20,205,19,177,1,28
2015,2,269,1.43,23,4,242,23,219,2988.21,23,25,64,67,63,14,228,210,32,26,6,120,122,104,106,16,16,16,10,0,6,70,43,129,68,43,99,2,0,30,41,201,38,172,3,29
2016,2,220,1.16,29,1,190,31,159,2950.0,31,19,46,54,40,12,178,163,27,20,7,102,88,90,73,12,15,11,9,1,6,57,44,89,56,44,63,1,0,26,22,168,20,143,2,25
2017,2,224,1.17,20,3,201,32,169,2895.0,32,19,53,50,47,13,188,162,39,36,3,94,107,75,87,19,20,18,18,1,2,51,56,94,47,55,60,4,1,34,30,171,27,135,3,36
2018,2,193,1.0,16,3,174,22,152,3826.66,22,6,39,59,48,11,163,155,19,15,4,81,93,68,87,13,6,11,4,2,2,41,46,87,38,46,71,3,0,16,23,151,23,132,0,19
2019,2,180,0.92,14,4,162,28,134,3575.56,28,19,27,43,45,6,156,145,17,13,4,85,77,78,67,7,10,7,6,0,4,40,27,95,39,26,80,1,1,15,39,123,39,106,0,17
2010,3,964,6.37,28,4,932,155,777,2298.81,149,123,296,244,120,120,812,821,111,74,37,540,392,497,324,43,68,35,39,8,29,277,113,542,270,113,438,7,0,104,167,765,159,662,8,103
2011,3,970,6.26,23,10,937,127,810,2462.5,124,153,260,260,140,130,807,814,123,83,40,499,438,457,357,42,81,36,47,6,34,270,94,573,267,90,457,3,4,116,148,789,141,673,7,116
2012,3,1065,6.72,45,5,1015,155,860,1962.86,151,211,310,225,118,105,910,884,131,83,48,549,466,495,389,54,77,43,40,11,37,290,151,574,285,150,449,5,1,125,197,818,188,696,9,122
2013,3,1066,6.57,43,9,1014,199,815,1988.0,172,229,262,213,138,110,904,890,124,79,45,587,427,551,339,36,88,32,47,4,41,373,129,512,370,124,396,3,5,116,70,944,70,820,0,124
2014,3,1019,6.14,77,7,935,119,816,1859.0,112,232,274,194,123,89,846,828,107,83,24,544,391,505,323,39,68,31,52,8,16,342,152,441,335,148,345,7,4,96,63,872,62,766,1,106
2015,3,830,4.9,107,11,712,96,616,1967.53,96,123,251,154,88,71,641,626,86,68,18,406,306,371,255,35,51,32,36,3,15,203,102,407,201,101,324,2,1,83,89,623,88,538,1,85
2016,3,759,4.38,114,7,638,82,556,2264.45,70,103,200,159,106,68,570,548,90,75,15,353,285,315,233,38,52,35,40,3,12,179,112,347,174,110,264,5,2,83,82,556,77,471,5,85
2017,3,698,3.95,54,3,641,73,568,2597.64,73,61,211,175,121,65,576,556,85,70,15,349,292,305,251,44,41,42,28,2,13,179,119,343,175,115,266,4,4,77,86,555,82,474,4,81
2018,3,719,3.98,60,10,649,67,582,2500.0,86,77,204,158,124,36,613,562,87,72,15,370,279,321,241,49,38,47,25,2,13,158,100,391,152,99,311,6,1,80,110,539,105,457,5,82
2019,3,733,3.98,70,22,641,119,522,2872.7,118,61,170,172,120,36,605,583,58,51,7,373,268,337,246,36,22,35,16,1,6,153,99,389,149,99,335,4,0,54,148,493,139,444,9,49
2010,4,1317,6.8,31,10,1276,117,1159,1467.8,109,414,397,232,124,57,1219,1154,122,83,39,635,641,591,563,44,78,38,45,6,33,418,252,606,413,251,490,5,1,116,177,1099,170,984,7,115
2011,4,1235,6.21,19,12,1204,134,1070,1400.0,121,377,402,183,121,55,1149,1083,121,88,33,605,599,554,529,51,70,45,43,6,27,357,180,667,351,176,556,6,4,111,175,1029,164,919,11,110
2012,4,1214,5.94,29,16,1169,118,1051,1554.0,114,323,422,194,116,54,1115,1056,113,78,35,586,583,546,510,40,73,35,43,5,30,373,220,576,367,217,472,6,3,104,221,948,210,846,11,102
2013,4,1017,4.85,20,10,987,123,864,1584.5,115,236,367,150,119,43,944,884,103,72,31,542,445,492,392,50,53,45,27,5,26,352,184,451,346,181,357,6,3,94,82,905,79,805,3,100
2014,4,1132,5.27,70,8,1054,68,986,1705.95,67,209,485,207,86,31,1023,969,85,72,13,552,502,512,457,40,45,38,34,2,11,342,209,503,337,209,423,5,0,80,80,974,75,894,5,80
2015,4,977,4.44,85,5,887,88,799,1801.78,85,145,406,171,80,42,845,790,97,79,18,462,425,419,371,43,54,39,40,4,14,259,168,460,253,164,373,6,4,87,85,802,83,707,2,95
2016,4,973,4.32,115,7,851,89,762,2106.65,89,98,348,231,85,27,824,761,90,77,13,475,376,436,325,39,51,37,40,2,11,270,141,440,266,141,354,4,0,86,119,732,116,645,3,87
