census_year,ward,housing_units_total,housing_units_rental,housing_units_other,median_rent,population_total,population_poverty_below,population_poverty_above,population_race_white,population_race_black,population_race_latinx,population_race_asian,population_race_other
2006-2010 5-year estimates,1,27790,15969,11819,735.0-1378.0,57451,11884,45570,25632,4525,25140,1523,636
2014-2018 5-year estimates,1,27344,16035,11309,986.0-2003.0,57077,7587,49494,32196,3010,17923,2423,1526
2006-2010 5-year estimates,2,36931,18008,18926,375.0-1798.0,56196,8090,48108,42087,4678,5371,3193,866
2014-2018 5-year estimates,2,36805,19371,17431,590.0-2344.0,57896,6044,51856,42392,3904,5557,4682,1361
2006-2010 5-year estimates,3,28163,15126,13039,247.0-1268.0,49809,13027,36784,10002,34516,1631,3057,601
2014-2018 5-year estimates,3,31586,18049,13539,280.0-2114.0,58367,14574,43794,13775,34837,2094,6157,1501
2006-2010 5-year estimates,4,30289,19362,10927,269.0-1786.0,51529,13178,38353,10244,35255,1133,3850,1049
2014-2018 5-year estimates,4,33563,23608,9955,289.0-2314.0,59910,14671,45240,15527,33234,2857,6250,2048
2006-2010 5-year estimates,5,30964,19974,10994,655.0-1236.0,52728,14245,38481,12553,34308,2103,2890,876
2014-2018 5-year estimates,5,29816,20517,9297,741.0-1404.0,53098,14519,38580,12606,32517,2755,3498,1719
2006-2010 5-year estimates,6,27247,15691,11554,407.0-1115.0,56202,17777,38425,265,54983,312,124,517
2014-2018 5-year estimates,6,25479,14222,11260,392.0-1618.0,48112,16152,31960,490,45870,1017,38,695
2006-2010 5-year estimates,7,26922,15444,11480,374.0-1363.0,52322,15402,36918,618,47583,3381,83,657
2014-2018 5-year estimates,7,25685,13671,12016,338.0-1216.0,50774,16370,34402,1324,45417,3411,119,500
2006-2010 5-year estimates,8,25863,12734,13125,592.0-1144.0,54233,12208,42028,464,52788,460,167,351
2014-2018 5-year estimates,8,25263,12193,13071,672.0-1216.0,49032,10734,38297,709,47172,550,161,440
2006-2010 5-year estimates,9,23198,9243,13953,306.0-1315.0,55387,14261,41124,855,52202,1939,54,337
2014-2018 5-year estimates,9,22345,9919,12425,365.0-1618.0,50304,14318,35986,1120,46286,2191,81,629
2006-2010 5-year estimates,10,20218,6895,13321,374.0-1363.0,55966,13646,42322,10521,9370,35803,85,188
2014-2018 5-year estimates,10,19604,6965,12635,338.0-1198.0,51098,12533,38564,8059,9895,32877,97,172
2006-2010 5-year estimates,11,21949,10674,11274,313.0-1624.0,51138,10175,40963,18676,3334,11484,16623,1023
2014-2018 5-year estimates,11,22166,11665,10501,289.0-1956.0,55139,10479,44660,19260,3212,11665,20177,826
2006-2010 5-year estimates,12,16871,8388,8479,595.0-983.0,50021,13316,36707,5614,1579,39271,3383,172
2014-2018 5-year estimates,12,16923,8826,8096,711.0-993.0,50601,13516,37084,4466,1665,38683,5348,437
2006-2010 5-year estimates,13,17457,3816,13640,717.0-1706.0,53946,6465,47478,19294,1074,33074,248,257
2014-2018 5-year estimates,13,17931,5009,12922,750.0-1284.0,56829,6141,50689,15012,1281,39799,264,471
2006-2010 5-year estimates,14,15702,5433,10269,679.0-1545.0,50983,8756,42228,9986,410,39702,547,338
2014-2018 5-year estimates,14,16498,6694,9804,675.0-1495.0,53841,9044,44796,7453,591,44211,1489,97
2006-2010 5-year estimates,15,16134,8395,7740,635.0-1158.0,52108,17430,34677,3463,13497,33650,1117,384
2014-2018 5-year estimates,15,16222,8562,7661,678.0-1011.0,47057,13566,33492,2365,7795,35074,1459,363
2006-2010 5-year estimates,16,20303,10370,9932,536.0-1158.0,53682,16896,36784,1086,37186,14607,202,599
2014-2018 5-year estimates,16,19541,10086,9454,646.0-1185.0,45421,14429,30994,911,26204,17855,125,326
2006-2010 5-year estimates,17,20929,11135,9795,589.0-1159.0,54554,16641,37914,1151,47291,5598,148,360
2014-2018 5-year estimates,17,20582,10900,9685,679.0-1131.0,48093,13067,35026,970,37961,8014,160,988
2006-2010 5-year estimates,18,18301,3346,14954,798.0-1706.0,54142,6568,47575,7348,30670,15176,502,446
2014-2018 5-year estimates,18,18459,4406,14054,864.0-1510.0,55539,7403,48136,4726,28915,20358,384,1159
2006-2010 5-year estimates,19,20592,3525,17066,183.0-1086.0,51437,2322,49115,35250,13050,2516,152,471
2014-2018 5-year estimates,19,20309,3828,16482,768.0-1254.0,51657,3206,48452,33225,13434,3576,580,842
2006-2010 5-year estimates,20,24448,14838,9612,407.0-1539.0,49003,19118,29882,2270,39658,6136,462,471
2014-2018 5-year estimates,20,23236,15694,7541,392.0-1188.0,45164,16901,28263,2632,33958,6867,924,785
2006-2010 5-year estimates,21,21543,8895,12648,751.0-1289.0,55130,13012,42120,253,53566,607,82,626
2014-2018 5-year estimates,21,21319,9325,11994,679.0-1551.0,49507,11101,38408,395,47968,498,201,447
2006-2010 5-year estimates,22,15956,7374,8584,639.0-1095.0,50386,12511,37875,2188,5336,42421,395,46
2014-2018 5-year estimates,22,15773,7766,8007,639.0-1377.0,51469,13845,37624,2532,3119,45360,255,203
2006-2010 5-year estimates,23,17555,4418,13137,696.0-1545.0,53210,7367,45844,17125,1553,33507,453,572
2014-2018 5-year estimates,23,17699,5269,12430,750.0-1495.0,53951,6116,47834,13606,822,38609,713,204
2006-2010 5-year estimates,24,19010,11260,7749,322.0-1141.0,54427,22610,31814,2037,46180,5764,113,335
2014-2018 5-year estimates,24,18215,11381,6833,682.0-1222.0,52014,19723,32292,2087,41856,7533,129,410
2006-2010 5-year estimates,25,22993,12861,10133,397.0-1624.0,52619,15282,37337,10319,4962,30121,6588,629
2014-2018 5-year estimates,25,24120,14460,9660,561.0-2074.0,53078,12047,41031,12892,4711,25616,9104,755
2006-2010 5-year estimates,26,21378,12641,8737,735.0-1179.0,52730,14041,38688,10395,7396,33780,596,561
2014-2018 5-year estimates,26,20597,12761,7837,837.0-1500.0,51458,11341,40115,13258,5734,30327,1037,1101
2006-2010 5-year estimates,27,26189,15266,10923,354.0-1798.0,51834,16990,34845,14370,29262,5078,2123,1007
2014-2018 5-year estimates,27,27792,17093,10699,460.0-2344.0,55462,13734,41728,18107,25356,7951,2843,1204
2006-2010 5-year estimates,28,24804,15451,9358,395.0-1350.0,55076,20996,34082,6035,42589,3104,2788,558
2014-2018 5-year estimates,28,22968,15300,7670,484.0-1995.0,54122,21530,32592,7062,39278,3725,3219,835
2006-2010 5-year estimates,29,22752,11828,10924,690.0-1024.0,57344,13539,43805,9519,39511,7339,583,391
2014-2018 5-year estimates,29,22337,10909,11426,758.0-1092.0,53692,12172,41521,7689,34829,9918,641,615
2006-2010 5-year estimates,30,19077,9323,9752,771.0-1044.0,55554,8578,46976,16309,1555,35013,1987,694
2014-2018 5-year estimates,30,19355,9419,9935,855.0-1202.0,56086,8661,47428,14481,1172,37929,1763,743
2006-2010 5-year estimates,31,18237,9222,9015,746.0-996.0,54394,9452,44942,10207,1547,40841,1150,649
2014-2018 5-year estimates,31,18315,9506,8811,855.0-1136.0,52772,9129,43638,9648,1146,40130,955,891
2006-2010 5-year estimates,32,27778,13041,14737,698.0-1793.0,56041,6027,50014,38879,2303,11105,2734,1017
2014-2018 5-year estimates,32,27135,12303,14835,1099.0-2124.0,58880,3859,55020,42248,1889,9444,3262,2042
2006-2010 5-year estimates,33,21822,11624,10196,806.0-1070.0,55223,8597,46628,18021,1917,29412,4915,958
2014-2018 5-year estimates,33,22322,12713,9609,990.0-1331.0,55305,9048,46258,20763,2295,25403,5311,1535
2006-2010 5-year estimates,34,20353,5510,14844,714.0-1315.0,54546,13019,41529,978,52417,551,94,505
2014-2018 5-year estimates,34,19020,5396,13623,768.0-1350.0,47883,13562,34320,921,45240,709,53,957
2006-2010 5-year estimates,35,20394,11647,8750,698.0-1075.0,55929,11638,44288,12006,3259,36573,3206,885
2014-2018 5-year estimates,35,20172,11795,8378,862.0-1396.0,52908,9138,43771,13676,2031,32784,3343,1074
2006-2010 5-year estimates,36,17196,7074,10124,779.0-1075.0,55140,10377,44762,15220,2780,34857,1436,845
2014-2018 5-year estimates,36,17626,6727,10898,837.0-1202.0,54879,8300,46578,12415,1536,38555,1848,527
2006-2010 5-year estimates,37,19307,10251,9058,395.0-969.0,49442,14189,35254,612,39766,8265,276,523
2014-2018 5-year estimates,37,18414,9839,8576,542.0-1141.0,51718,15422,36297,909,34684,15173,215,739
2006-2010 5-year estimates,38,22364,5855,16507,741.0-1207.0,56567,5774,50794,40141,538,12244,2765,878
2014-2018 5-year estimates,38,22946,6577,16370,1002.0-1435.0,58899,5380,53519,37241,1103,16577,3112,867
2006-2010 5-year estimates,39,22117,8903,13212,375.0-1103.0,57957,6864,51092,29075,1909,15687,9728,1555
2014-2018 5-year estimates,39,22241,8401,13839,392.0-2031.0,56316,6283,50030,30059,1463,13270,9295,2225
2006-2010 5-year estimates,40,25149,13493,11655,810.0-1285.0,54436,8197,46239,28375,3864,11714,9048,1436
2014-2018 5-year estimates,40,25612,14841,10771,909.0-1389.0,58550,8609,49944,29699,4367,12848,9081,2555
2006-2010 5-year estimates,41,24322,6254,18068,770.0-1545.0,55901,3306,52595,46294,408,6239,2649,314
2014-2018 5-year estimates,41,25026,7391,17636,931.0-2031.0,56375,3595,52781,44583,771,6339,2989,1694
2006-2010 5-year estimates,42,37733,17700,20034,1077.0-1822.0,45540,4389,41151,32701,2295,2267,7097,1177
2014-2018 5-year estimates,42,52317,28220,24098,668.0-2344.0,70053,6230,63824,46973,2770,4364,13838,2111
2006-2010 5-year estimates,43,33833,16995,16837,827.0-1864.0,57054,6838,50217,47416,2287,2759,3568,1026
2014-2018 5-year estimates,43,32641,17462,15180,1209.0-2097.0,60104,5464,54639,48222,2442,3031,4448,1958
2006-2010 5-year estimates,44,35928,22990,12939,745.0-1647.0,58598,7166,51433,47532,1764,4569,3760,973
2014-2018 5-year estimates,44,34841,21786,13056,429.0-2553.0,59360,5335,54024,47972,1615,3907,4178,1688
2006-2010 5-year estimates,45,24471,8822,15651,742.0-1055.0,57933,5639,52293,37330,1096,14598,3977,926
2014-2018 5-year estimates,45,24817,8939,15875,955.0-1445.0,59608,5350,54258,35588,781,16529,4981,1726
2006-2010 5-year estimates,46,33259,20756,12503,493.0-1130.0,53552,12056,41495,29911,9727,7091,5758,1066
2014-2018 5-year estimates,46,33275,21461,11815,429.0-1940.0,55221,11206,44016,31586,9489,7367,4779,2001
2006-2010 5-year estimates,47,29933,16758,13175,737.0-1398.0,56738,4905,51831,42238,1244,8435,3492,1326
2014-2018 5-year estimates,47,29659,16537,13124,429.0-1983.0,61605,4207,57399,46854,1342,7755,3244,2410
2006-2010 5-year estimates,48,33228,20442,12785,493.0-1115.0,56413,11873,44540,30101,9693,6815,7959,1845
